date,Open Interest,Dealer Longs,Dealer Shorts,Dealer Spreads,Asset Manager Longs,Asset Manager Shorts,Asset Manager Spreads,Leveraged Funds Longs,Leveraged Funds Shorts,Leveraged Funds Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2018-04-10,1702.0,0.0,0.0,0.0,122.0,0.0,0.0,902.0,1108.0,25.0,53.0,207.0,1.0,1103.0,1341.0,599.0,361.0
2018-04-17,2029.0,0.0,0.0,0.0,122.0,0.0,0.0,1053.0,1313.0,42.0,130.0,332.0,0.0,1347.0,1687.0,682.0,342.0
2018-04-24,2380.0,0.0,0.0,0.0,105.0,0.0,0.0,1194.0,1682.0,46.0,198.0,336.0,8.0,1551.0,2072.0,829.0,308.0
2018-05-01,1991.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.0,1348.0,27.0,177.0,283.0,0.0,1402.0,1658.0,589.0,333.0
2018-05-08,2485.0,0.0,0.0,0.0,0.0,0.0,0.0,1284.0,1707.0,20.0,391.0,368.0,0.0,1695.0,2095.0,790.0,390.0
2018-05-15,2505.0,0.0,0.0,0.0,0.0,29.0,0.0,1338.0,1657.0,26.0,337.0,366.0,0.0,1701.0,2078.0,804.0,427.0
2018-05-22,2684.0,0.0,0.0,0.0,0.0,29.0,0.0,1323.0,1872.0,50.0,462.0,327.0,0.0,1835.0,2278.0,849.0,406.0
2018-05-29,2714.0,0.0,0.0,0.0,38.0,25.0,0.0,1172.0,1812.0,55.0,486.0,416.0,3.0,1754.0,2311.0,960.0,403.0
2018-06-05,2556.0,0.0,0.0,0.0,47.0,29.0,0.0,1126.0,1845.0,27.0,540.0,305.0,0.0,1740.0,2206.0,816.0,350.0
2018-06-12,2643.0,29.0,0.0,0.0,0.0,108.0,0.0,1349.0,1634.0,19.0,427.0,440.0,0.0,1824.0,2201.0,819.0,442.0
2018-06-19,2633.0,29.0,0.0,0.0,52.0,59.0,0.0,1478.0,1414.0,111.0,159.0,590.0,0.0,1829.0,2174.0,804.0,459.0
2018-06-26,2687.0,29.0,0.0,0.0,0.0,111.0,0.0,1508.0,1505.0,137.0,171.0,515.0,3.0,1848.0,2271.0,839.0,416.0
2018-07-03,2514.0,0.0,0.0,0.0,44.0,84.0,0.0,1198.0,1639.0,42.0,438.0,366.0,6.0,1728.0,2137.0,786.0,377.0
2018-07-10,2622.0,0.0,0.0,0.0,0.0,119.0,0.0,1412.0,1652.0,102.0,396.0,368.0,11.0,1921.0,2252.0,701.0,370.0
2018-07-17,2854.0,0.0,0.0,0.0,25.0,89.0,0.0,1469.0,1990.0,68.0,493.0,332.0,15.0,2070.0,2494.0,784.0,360.0
2018-07-24,3431.0,30.0,0.0,0.0,44.0,164.0,6.0,1353.0,2313.0,174.0,868.0,392.0,25.0,2500.0,3074.0,931.0,357.0
2018-07-31,3063.0,0.0,0.0,0.0,0.0,209.0,9.0,1722.0,1969.0,258.0,259.0,340.0,0.0,2248.0,2785.0,815.0,278.0
2018-08-07,2732.0,0.0,0.0,0.0,0.0,143.0,23.0,1481.0,1454.0,293.0,135.0,470.0,0.0,1932.0,2383.0,800.0,349.0
2018-08-14,2983.0,0.0,0.0,0.0,0.0,215.0,8.0,2065.0,1766.0,67.0,138.0,521.0,0.0,2278.0,2577.0,705.0,406.0
2018-08-21,2981.0,0.0,0.0,0.0,0.0,191.0,13.0,2104.0,1838.0,68.0,85.0,515.0,0.0,2270.0,2625.0,711.0,356.0
2018-08-28,2840.0,0.0,0.0,0.0,67.0,170.0,13.0,1688.0,1745.0,53.0,160.0,529.0,0.0,1981.0,2510.0,859.0,330.0
2018-09-04,2707.0,0.0,0.0,0.0,99.0,140.0,8.0,1187.0,1657.0,17.0,576.0,532.0,0.0,1887.0,2354.0,820.0,353.0
